text,label
Giáo viên đang phát bài kiểm tra.,Neutral
Lớp học ở phòng A301.,Neutral
Môn học này có 3 tín chỉ.,Neutral
Đang xem lại vở ghi.,Neutral
Thầy giáo giới thiệu về môn học.,Neutral
Bài thi gồm 2 phần: trắc nghiệm và tự luận.,Neutral
Đây là môn học tự chọn.,Neutral
Cảm thấy rất vui vì được điểm A+ môn chuyên ngành.,Positive
Bài tập về nhà tuần này khá nhẹ nhàng.,Positive
May mắn ôn trúng tủ phần lớn đề thi.,Positive
"Bị điểm 4 môn phụ, thật tệ.",Negative
"Ngủ gật trong giờ, bị giáo viên nhắc nhở.",Negative
Áp lực đồng trang lứa khiến tôi căng thẳng.,Negative
Sáng nay đi học muộn 5 phút.,Negative
Cần photo thêm tài liệu học tập.,Neutral
Giờ tự học buổi chiều.,Neutral
Đang thảo luận bài tập với bạn.,Neutral
Trường tổ chức hoạt động ngoại khóa bổ ích.,Positive
Hoàn thành mục tiêu học tập tuần này.,Positive
Kiến thức được hệ thống hóa rõ ràng.,Positive
Thư viện có nhiều sách hay.,Positive
Bài giảng online dễ theo dõi.,Positive
Mất vở ghi bài.,Negative
"Trường lớp ồn ào, khó tập trung.",Negative
Không hoàn thành mục tiêu học tập.,Negative
"Kiến thức rời rạc, không liên kết.",Negative
Thư viện hết sách mình cần.,Negative
Phòng thí nghiệm ở tầng 2.,Neutral
Cần chuẩn bị dụng cụ cho buổi thực hành.,Neutral
Điểm trung bình môn được tính theo công thức...,Neutral
Giờ học kéo dài 45 phút.,Neutral
Đang làm bài tập nhóm.,Neutral
Luôn chuẩn bị bài kỹ trước khi đến lớp.,Positive
Có thêm nhiều ý tưởng cho bài nghiên cứu.,Positive
Giờ học tiếng Anh giao tiếp hiệu quả.,Positive
Không chuẩn bị bài trước khi đến lớp.,Negative
Bí ý tưởng cho bài nghiên cứu.,Negative
"Ngại nói tiếng Anh, sợ sai.",Negative
Cần lên kế hoạch ôn tập.,Neutral
Bài kiểm tra 15 phút sắp tới.,Neutral
Câu lạc bộ tiếng Anh họp định kỳ.,Neutral
Hoàn thành xuất sắc bài kiểm tra giữa kỳ,Positive
Cảm giác nhẹ nhõm sau khi thi xong.,Positive
Bị lạc đề khi làm bài luận.,Negative
Quên mang máy tính bỏ túi đi thi.,Negative
Cảm thấy kiệt sức sau tuần thi cử.,Negative
Học thuộc lòng công thức hóa học.,Neutral
Ngày mai là hạn chót nộp bài.,Neutral
Xem lại video bài giảng.,Neutral
Tự hào khi giải được bài tập nâng cao.,Positive
Buổi học nhóm hôm nay rất hiệu quả.,Positive
Nhận được lời khen từ bạn bè về bài thuyết trình.,Positive
Cảm thấy hứng thú với chủ đề mới.,Positive
Điểm kiểm tra miệng khá tốt.,Positive
Giáo viên tạo không khí học tập thoải mái.,Positive
Hoàn thành bài tập lớn đúng tiến độ.,Positive
Học thêm được nhiều từ vựng mới.,Positive
Cảm giác tiến bộ rõ rệt trong môn Toán.,Positive
Tìm được phương pháp ghi nhớ hiệu quả.,Positive
Buổi thảo luận lớp sôi nổi và bổ ích.,Positive
Đạt giải trong cuộc thi khoa học kỹ thuật.,Positive
Tự tin hơn khi giao tiếp bằng tiếng Anh.,Positive
Nghiên cứu khoa học có kết quả khả quan.,Positive
Được thầy cô tin tưởng giao nhiệm vụ.,Positive
Môn học này thực sự hữu ích cho tương lai.,Positive
Cảm thấy vui vẻ khi đến trường mỗi ngày.,Positive
Điểm rèn luyện đạt loại xuất sắc.,Positive
Giờ thực hành hóa học rất thú vị.,Positive
Vượt qua được nỗi sợ phỏng vấn xin học bổng.,Positive
Làm bài kiểm tra thử đạt điểm cao.,Positive
Bạn bè luôn sẵn lòng giúp đỡ khi gặp khó khăn.,Positive
Cô giáo chủ nhiệm rất tâm lý.,Positive
Tìm được nguồn cảm hứng học tập.,Positive
Đọc hiểu tài liệu chuyên ngành nhanh hơn.,Positive
Kỹ năng làm việc nhóm được cải thiện.,Positive
Tham gia seminar học được nhiều điều hay.,Positive
Tự học lập trình có tiến bộ.,Positive
Cảm thấy hài lòng với nỗ lực của bản thân.,Positive
Nhận được phản hồi tích cực cho bài viết.,Positive
Không khí thi cử không quá căng thẳng.,Positive
Luôn hoàn thành bài tập trước khi đến lớp.,Positive
Được miễn thi cuối kỳ do điểm quá trình cao.,Positive
Cảm thấy yêu trường lớp hơn.,Positive
Kiến thức nền tảng vững chắc.,Positive
Tham gia tình nguyện dạy học rất ý nghĩa.,Positive
Học hỏi được nhiều kinh nghiệm từ anh chị khóa trên.,Positive
Giờ học Mỹ thuật thật thư giãn.,Positive
Đạt được mục tiêu điểm số đề ra.,Positive
Cảm thấy việc học không còn là gánh nặng.,Positive
Lớp có nhiều bạn học giỏi để noi theo.,Positive
Thầy cô luôn khuyến khích sự sáng tạo.,Positive
Tìm được cách giải nhanh cho bài toán.,Positive
Bài giảng của thầy rất logic và dễ hiểu.,Positive
"Thư viện mới được nâng cấp, rất hiện đại.",Positive
Cảm thấy tràn đầy năng lượng khi bắt đầu ngày học mới.,Positive
Được chọn làm lớp trưởng.,Positive
Tích lũy đủ tín chỉ để tốt nghiệp sớm.,Positive
Tự tin trình bày ý kiến trước đám đông.,Positive
Hiểu sâu sắc hơn về vấn đề được học.,Positive
Mệt mỏi vì thức khuya ôn thi liên tục.,Negative
Không thể tập trung nghe giảng.,Negative
Điểm số thấp hơn kỳ vọng rất nhiều.,Negative
Cảm thấy bị bỏ lại phía sau so với các bạn.,Negative
"Giáo viên giảng bài khó hiểu, toàn thuật ngữ lạ.",Negative
Mâu thuẫn với thành viên trong nhóm học tập.,Negative
Cảm thấy bế tắc khi giải bài tập khó.,Negative
Sợ bị gọi lên bảng trả bài.,Negative
Lo lắng về khối lượng kiến thức quá lớn.,Negative
Quên nộp bài tập về nhà.,Negative
Tìm mãi không thấy tài liệu cần thiết.,Negative
Không có hứng thú với môn học bắt buộc này.,Negative
Bài luận bị trả lại yêu cầu sửa nhiều.,Negative
Bị điểm liệt môn Thể dục.,Negative
Mất gốc kiến thức căn bản.,Negative
Không theo kịp tiến độ của lớp.,Negative
Cảm thấy áp lực về thành tích.,Negative
"Đề thi cuối kỳ quá dài, không làm kịp giờ.",Negative
Không thích phương pháp giảng dạy của giáo viên.,Negative
"Làm thí nghiệm thất bại, phải làm lại.",Negative
Đọc sách mà đầu óc trống rỗng.,Negative
Điểm trung bình có nguy cơ không đạt yêu cầu.,Negative
Cảm thấy lạc lõng trong môi trường học tập mới.,Negative
Thất vọng vì không được như mong đợi.,Negative
Phương pháp học hiện tại không mang lại kết quả.,Negative
Bị điểm 0 vì quay cóp trong giờ kiểm tra.,Negative
Cảm thấy quá tải với lịch học dày đặc.,Negative
Mất hết động lực để cố gắng.,Negative
Không tìm được người hướng dẫn phù hợp cho đề tài.,Negative
Kết quả thi thử thấp đáng lo ngại.,Negative
Thường xuyên đi học muộn.,Negative
Không thể trình bày rõ ràng ý tưởng của mình.,Negative
Sợ môn học tính toán phức tạp.,Negative
Cảm thấy bị đối xử không công bằng.,Negative
Thi lại nhiều lần vẫn không qua môn.,Negative
Mất tập trung vì chuyện cá nhân.,Negative
"Phòng học quá nóng/lạnh, khó chịu.",Negative
Không hoàn thành kế hoạch học tập đã đề ra.,Negative
Kiến thức học xong lại quên ngay.,Negative
Máy tính ở thư viện thường xuyên bị lỗi.,Negative
Học online không hiệu quả bằng học trực tiếp.,Negative
Cảm thấy tự ti về khả năng của mình.,Negative
Học ngày học đêm vẫn không hiểu bài.,Negative
Không được tham gia hoạt động ngoại khóa yêu thích.,Negative
Nộp báo cáo thực tập muộn bị trừ điểm.,Negative
Vẫn chưa khắc phục được điểm yếu trong môn học.,Negative
Giờ thực hành máy tính không có đủ máy cho mọi người.,Negative
Chán nản vì học mãi không giỏi.,Negative
Kết quả không phản ánh đúng nỗ lực.,Negative
Không có bạn thân trong lớp.,Negative
Giáo viên quá nghiêm khắc và khó tính.,Negative
Cảm thấy cô lập khi làm việc nhóm.,Negative
Mất ngủ vì lo lắng cho kỳ thi quan trọng.,Negative
Bị bạn bè trêu chọc vì học kém.,Negative
Đây là sách giáo khoa môn Sinh học.,Neutral
Giờ học tiếp theo là môn Vật lý.,Neutral
Cần chuẩn bị slide cho buổi thuyết trình.,Neutral
Giáo viên đang giải thích khái niệm mới.,Neutral
Cuộc họp nhóm sẽ diễn ra tại thư viện.,Neutral
Ghi lại công thức lên bảng.,Neutral
Bài kiểm tra giữa kỳ chiếm 30% điểm tổng kết.,Neutral
Bạn lớp trưởng đang thông báo lịch trực nhật.,Neutral
Thông tin về học bổng được đăng trên website trường.,Neutral
Hạn chót đăng ký môn học là ngày mai.,Neutral
Tìm kiếm bài báo khoa học liên quan đến đề tài.,Neutral
Cổng trường đóng lúc 10 giờ tối.,Neutral
Bài tập yêu cầu vẽ biểu đồ.,Neutral
Giáo viên yêu cầu đọc trước bài mới.,Neutral
Lớp học nằm đối diện phòng giáo viên.,Neutral
Môn học này có bài tập lớn cuối kỳ.,Neutral
Đang ôn lại kiến thức cũ.,Neutral
Thầy hiệu trưởng đang phát biểu trong lễ khai giảng.,Neutral
Đề thi có 5 câu tự luận.,Neutral
Đây là danh sách các môn tự chọn.,Neutral
Phòng thí nghiệm cần được giữ vệ sinh.,Neutral
Giờ thực hành bắt đầu lúc 2 giờ chiều.,Neutral
Cách tính điểm chuyên cần được quy định rõ.,Neutral
Mỗi tiết học cách nhau 5 phút giải lao.,Neutral
Đang phân công nhiệm vụ cho các thành viên trong nhóm.,Neutral
Bạn Nam giơ tay xin phát biểu.,Neutral
Cần lập dàn ý chi tiết cho bài luận.,Neutral
Bài kiểm tra 15 phút sẽ có vào tuần tới.,Neutral
Câu lạc bộ tổ chức buổi nói chuyện chuyên đề.,Neutral
Đang suy nghĩ về cách giải bài tập.,Neutral
Hôm nay đi học bằng xe đạp.,Neutral
Sân trường mới trồng thêm cây xanh.,Neutral
Đã viết xong phần kết luận của báo cáo.,Neutral
Sách tham khảo có thể mượn ở thư viện.,Neutral
Thư viện có quy định về việc giữ im lặng.,Neutral
Lớp học trực tuyến yêu cầu bật camera.,Neutral
Danh sách lớp được dán ở bảng tin.,Neutral
Xem lại lịch học cá nhân.,Neutral
Đội tuyển học sinh giỏi đang ôn luyện.,Neutral
Chọn một góc yên tĩnh để tự học.,Neutral
Báo cáo thực tập cần có chữ ký xác nhận của cơ quan.,Neutral
Môn học này là tiền đề cho các môn chuyên sâu hơn.,Neutral
Phòng thực hành máy tính yêu cầu cởi giày dép bên ngoài.,Neutral
Đang tra cứu từ điển.,Neutral
Kỳ thi tốt nghiệp diễn ra trong 3 ngày.,Neutral
Chuẩn bị bút và thước kẻ.,Neutral
Đề tài nghiên cứu tập trung vào lĩnh vực môi trường.,Neutral
Lớp học tiếng Anh có bài kiểm tra từ vựng hàng tuần.,Neutral
Giáo viên chủ nhiệm thông báo về kế hoạch tham quan.,Neutral
Chứng chỉ này cần được gia hạn định kỳ.,Neutral
Học phí cần được đóng trước ngày X.,Neutral
Bảng điểm sẽ được công bố online.,Neutral
Sử dụng bút highlight để đánh dấu ý chính.,Neutral
Giờ nghỉ trưa từ 11h30 đến 1h.,Neutral
Trường có sân bóng đá và bóng rổ.,Neutral
Đang đọc nội quy phòng thi.,Neutral
Cần nộp đơn xin phúc khảo điểm thi.,Neutral
Mượn vở bạn để chép lại bài cũ.,Neutral
Giáo viên đang chấm bài kiểm tra.,Neutral
Học kỳ này có 5 môn học.,Neutral
Sơ đồ tư duy giúp hệ thống kiến thức.,Neutral
Căng tin bán đồ ăn sáng và trưa.,Neutral
Đang nghe lại file ghi âm bài giảng.,Neutral
Tham khảo đề thi các năm trước.,Neutral
Giấy nháp được phát trong phòng thi.,Neutral
Trang phục đến trường là áo trắng quần xanh.,Neutral
Học sinh ngồi đúng số báo danh.,Neutral
Nhà trường tổ chức lễ tốt nghiệp.,Neutral
Cần làm thẻ sinh viên mới.,Neutral
Giáo trình được bán tại văn phòng khoa.,Neutral
Chuông báo hết giờ reo.,Neutral
Đang sắp xếp lại thời gian biểu.,Neutral
Bảng đen cần được lau sạch sau mỗi tiết học.,Neutral
Môn Triết học yêu cầu đọc nhiều tài liệu.,Neutral
Giáo viên sử dụng máy chiếu để giảng bài.,Neutral
Cần đăng ký tín chỉ cho học kỳ sau.,Neutral
Cuốn sổ tay ghi chép thông tin quan trọng.,Neutral
Trường có tổ chức các lớp học kỹ năng mềm.,Neutral
Bãi giữ xe nằm ở phía sau trường.,Neutral
Đang xem điểm thi trên hệ thống.,Neutral
Quy chế thi được phổ biến trước kỳ thi.,Neutral
Phòng y tế nằm ở tầng trệt.,Neutral
Thảo luận về định hướng nghề nghiệp sau khi tốt nghiệp.,Neutral
Máy tính cần cài đặt phần mềm chuyên dụng.,Neutral
Giáo viên giao bài tập theo cặp.,Neutral
Cần viết bản kiểm điểm vì vi phạm nội quy.,Negative
Kết quả học tập ảnh hưởng đến việc xét học bổng.,Neutral
Thầy cô tổ chức buổi tư vấn học đường.,Neutral
Cảm thấy vui vì giúp bạn hiểu bài.,Positive
Nộp bài muộn nên bị điểm thấp.,Negative
Chương trình học khá nặng.,Negative
Hôm nay lớp được nghỉ học đột xuất.,Neutral
Tìm thấy lỗi sai trong bài giải của mình.,Neutral
Được bạn tặng một cây bút mới.,Positive
Mất thẻ thư viện.,Negative
Đang dịch một đoạn văn tiếng Anh.,Neutral
Cảm thấy hào hứng với dự án sắp tới.,Positive
Lo sợ không đủ điểm đậu tốt nghiệp.,Negative
Giáo viên thông báo lịch kiểm tra đột xuất.,Neutral
Hoàn thành khóa học online và nhận chứng chỉ.,Positive
Bị đau đầu vì học quá căng thẳng.,Negative
Tham gia buổi workshop về phương pháp học tập.,Neutral
Cảm thấy tự tin hơn sau khi ôn bài kỹ.,Positive
Quên mang sách giáo khoa.,Negative
Đang vẽ bản đồ tư duy cho bài học.,Neutral
Được chọn tham gia trại hè khoa học.,Positive
Cảm thấy buồn vì điểm thi không như ý.,Negative
Giờ học thể dục hôm nay trời mưa.,Neutral
Tìm được một người bạn học cùng tiến.,Positive
Bị mất tập trung bởi tiếng ồn bên ngoài.,Negative
Đang xem lịch thi lại.,Neutral
Nhận được email khen ngợi từ giáo sư.,Positive
Cảm thấy áp lực khi phải đạt thành tích cao.,Negative
Đăng ký tham gia cuộc thi hùng biện.,Neutral
Giải được hết các bài tập trong sách bài tập.,Positive
Cảm thấy nản lòng vì học mãi không vào.,Negative
Giáo viên đang phân tích một tác phẩm văn học.,Neutral
Điểm số cải thiện đáng kể so với học kỳ trước.,Positive
Bị bạn bè nói xấu sau lưng.,Negative
Đang chuẩn bị cho buổi bảo vệ đồ án tốt nghiệp.,Neutral
Cảm thấy biết ơn sự chỉ dạy của thầy cô.,Positive
Lo lắng vì sắp hết hạn nộp hồ sơ.,Negative
Trường tổ chức ngày hội hướng nghiệp.,Neutral
Tự học thêm một ngôn ngữ mới.,Positive
Cảm thấy mệt mỏi vì thiếu ngủ.,Negative
Đang làm thí nghiệm trong phòng lab.,Neutral
Đạt được điểm số cao nhất lớp.,Positive
Bị kỷ luật vì đánh nhau.,Negative
Giờ sinh hoạt lớp cuối tuần.,Neutral
Tham gia đội kịch của trường.,Positive
Cảm thấy hoang mang về định hướng tương lai.,Negative
Đọc quy định về trang phục dự thi.,Neutral
Nhận được học bổng du học.,Positive
Bị trừ điểm hạnh kiểm.,Negative
Đang tìm phòng học cho tiết sau.,Neutral
Cảm thấy việc học trở nên thú vị hơn.,Positive
Sợ bị điểm kém ảnh hưởng đến kết quả chung.,Negative
Lớp trưởng thu quỹ lớp.,Neutral
Hoàn thành mục tiêu đọc sách tháng này.,Positive
Cảm thấy quá sức với lượng bài tập.,Negative
Xem thông báo nghỉ lễ trên bảng tin.,Neutral
Được thầy cô động viên khi gặp khó khăn.,Positive
Bị mất điện thoại trong trường.,Negative
Đang ghi chú những điểm quan trọng.,Neutral
Tìm ra lỗi sai trong code và sửa được.,Positive
Cảm thấy thất vọng về bản thân.,Negative
Giáo viên trả bài kiểm tra tuần trước.,Neutral
Tự hào khi giải được bài tập nâng cao.,Positive
Bài giảng của thầy rất cuốn hút.,Positive
Được bạn bè giúp đỡ ôn thi hiệu quả.,Positive
Học nhóm tiến bộ rõ rệt.,Positive
Điểm thi thử môn Lý cao hơn mong đợi.,Positive
Cảm thấy hứng thú với phương pháp dạy mới.,Positive
Tìm được lỗi sai trong bài làm và sửa kịp thời.,Positive
Giờ thực hành Hóa học rất thú vị.,Positive
Đạt giải trong cuộc thi học thuật của trường.,Positive
Tự tin hơn vào khả năng của bản thân.,Positive
Giờ nghỉ trưa vui vẻ cùng bạn bè.,Positive
Tham gia seminar chuyên đề rất bổ ích.,Positive
Nhận được phản hồi tích cực cho bài luận.,Positive
Tiến bộ trong kỹ năng ghi chú bài giảng.,Positive
Cảm thấy yêu trường lớp hơn.,Positive
Vượt qua được nỗi sợ thuyết trình.,Positive
Điểm kiểm tra miệng khá tốt.,Positive
Học thêm được nhiều từ vựng mới.,Positive
Hoàn thành bài tập lớn đúng hạn.,Positive
Cảm giác thành tựu khi hiểu sâu một vấn đề.,Positive
Thầy cô tạo điều kiện học tập tốt.,Positive
Môn học yêu thích có thêm tiết.,Positive
Được bầu làm nhóm trưởng.,Positive
Không khí thi đua học tập lành mạnh.,Positive
Tự giác hoàn thành bài tập không cần nhắc nhở.,Positive
Tìm được cách giải nhanh hơn cho bài toán.,Positive
Bài thuyết trình được đánh giá cao.,Positive
Giúp bạn hiểu bài thành công.,Positive
Cảm thấy sẵn sàng cho kỳ thi cuối kỳ.,Positive
Đăng ký thành công tín chỉ mong muốn.,Positive
Tài liệu ôn tập rất đầy đủ và chi tiết.,Positive
Giờ học Sinh học có nhiều hình ảnh minh họa hay.,Positive
Hoàn thành tốt nhiệm vụ được giao trong nhóm.,Positive
Điểm cộng tích lũy tăng lên.,Positive
"Lớp học sạch sẽ, thoáng mát.",Positive
Qua môn Thể dục dễ dàng.,Positive
Nhớ được hết các mốc lịch sử quan trọng.,Positive
Cô giáo khen chữ viết đẹp.,Positive
"Đề thi môn Anh vừa sức, làm bài tốt.",Positive
Cảm thấy lạc quan về kết quả học tập.,Positive
Làm sai gần hết bài kiểm tra 15 phút.,Negative
Không thể tập trung nghe giảng.,Negative
"Bài tập quá khó, không biết bắt đầu từ đâu.",Negative
Bị điểm thấp do không thuộc bài.,Negative
Mâu thuẫn với thành viên trong nhóm học tập.,Negative
Cảm thấy bế tắc với môn Toán.,Negative
Nói lắp khi trả lời câu hỏi của giáo viên.,Negative
Không ai trong lớp chơi cùng.,Negative
Sợ hãi khi nghĩ đến việc thi lại.,Negative
"Học trước quên sau, kiến thức không đọng lại.",Negative
"Giáo trình quá cũ, thông tin lạc hậu.",Negative
Buổi học chiều nay thật nhàm chán.,Negative
Viết đi viết lại phần kết luận mà vẫn không ổn.,Negative
Bị ghi tên vào sổ đầu bài vì mất trật tự.,Negative
Áp lực điểm số từ bố mẹ ngày càng tăng.,Negative
Không đủ điểm qua môn.,Negative
"Ôn thi gấp gáp, cảm thấy quá tải.",Negative
"Thầy giáo nói khó nghe, không hiểu gì.",Negative
"Đề thi đánh đố, nhiều câu chưa từng gặp.",Negative
Mất hết hứng thú học tập.,Negative
Làm đổ hóa chất trong giờ thực hành.,Negative
Đọc tài liệu mà đầu óc trống rỗng.,Negative
Thứ hạng trong lớp bị tụt giảm.,Negative
Cảm thấy tự ti về học lực của mình.,Negative
Bị bạn bè trêu chọc vì học kém.,Negative
Phương pháp học hiện tại không còn phù hợp.,Negative
Điểm bài kiểm tra miệng rất tệ.,Negative
Gia đình không ủng hộ ngành học đã chọn.,Negative
Mệt mỏi vì phải học thêm quá nhiều.,Negative
Làm mất thẻ thư viện.,Negative
"Điều hòa lớp học bị hỏng, nóng quá.",Negative
Không đạt được mục tiêu điểm số đã đề ra.,Negative
Kiến thức bị hổng nhiều chỗ.,Negative
Không mượn được sách tham khảo cần thiết.,Negative
Lỗi kết nối mạng làm gián đoạn buổi học online.,Negative
Cảm thấy lạc lõng giữa tập thể lớp.,Negative
Càng học càng thấy khó.,Negative
Bị loại khỏi danh sách thi học sinh giỏi.,Negative
Không thể tập trung tự học ở nhà.,Negative
Nộp bài trễ bị trừ điểm.,Negative
Vẫn chưa hiểu rõ bản chất vấn đề.,Negative
Máy chiếu phòng học bị mờ.,Negative
Không còn chút động lực nào để cố gắng.,Negative
Kết quả thi thử thấp hơn nhiều so với dự kiến.,Negative
Thường xuyên quên làm bài tập về nhà.,Negative
Không nghĩ ra được ý tưởng nào mới cho bài viết.,Negative
Phát âm tiếng Anh còn nhiều lỗi.,Negative
Cảm thấy bị thầy cô bỏ rơi.,Negative
Lại phải thi lại chứng chỉ rồi.,Negative
Môn Địa lý có nhiều số liệu cần nhớ.,Neutral
Đang nghe bạn trình bày bài làm.,Neutral
Cần chuẩn bị slide cho buổi báo cáo tuần tới.,Neutral
Giáo viên đang giảng về định lý mới.,Neutral
Cuộc họp nhóm sẽ bàn về phân công nhiệm vụ.,Neutral
Đây là sơ đồ tư duy của bài học.,Neutral
Lịch bảo vệ đồ án đã được ấn định.,Neutral
Bạn ngồi cạnh tôi thuận tay trái.,Neutral
Thông báo về kỳ thi được dán trên bảng tin.,Neutral
Bài tập này cần nộp bản cứng.,Neutral
Tìm tài liệu ở thư viện trường.,Neutral
Tiết học buổi chiều bắt đầu lúc 1 giờ 30.,Neutral
Bài tập lớn chiếm 30% điểm tổng kết.,Neutral
Đang chờ giáo viên trả bài kiểm tra giữa kỳ.,Neutral
Phòng học Ngoại ngữ ở khu nhà B.,Neutral
Môn học này có bài kiểm tra giữa kỳ và cuối kỳ.,Neutral
Đọc lại phần lý thuyết đã học.,Neutral
Giáo viên đang giới thiệu tài liệu tham khảo.,Neutral
Đề thi cuối kỳ có thời gian làm bài 90 phút.,Neutral
Đây là môn học bắt buộc trong chương trình.,Neutral
Phòng thí nghiệm Vật lý có các thiết bị mới.,Neutral
Cần chuẩn bị áo blouse cho buổi thực hành Sinh.,Neutral
Điểm chuyên cần được tính dựa trên số buổi có mặt.,Neutral
Một tiết học kéo dài 50 phút theo quy định mới.,Neutral
Đang trao đổi ý kiến với các thành viên trong nhóm.,Neutral
Bạn Nam vừa trả lời câu hỏi của cô giáo.,Neutral
Cần lập dàn ý chi tiết cho bài văn.,Neutral
Sắp có bài kiểm tra từ vựng tiếng Anh.,Neutral
Câu lạc bộ Nhiếp ảnh sinh hoạt vào thứ Bảy.,Neutral
Đang kẻ bảng tổng hợp kiến thức.,Neutral
Hôm nay nhà trường tổ chức tập huấn phòng cháy.,Neutral
Cây xanh trong sân trường vừa được cắt tỉa.,Neutral
Đã viết xong phần thân bài của báo cáo.,Neutral
Giáo trình môn học dày 200 trang.,Neutral
Thư viện đóng cửa vào Chủ Nhật.,Neutral
Lớp học trực tuyến sử dụng nền tảng Microsoft Teams.,Neutral
Sĩ số lớp học là 35 sinh viên.,Neutral
Đang kiểm tra lịch học trên ứng dụng.,Neutral
Đội tuyển Olympic Toán có buổi tập huấn.,Neutral
Chọn một góc yên tĩnh ở thư viện để học.,Neutral
Báo cáo thực tập cần có chữ ký xác nhận của cơ quan.,Neutral
Môn học này là tiền đề cho các môn chuyên sâu hơn.,Neutral
Phòng máy tính yêu cầu sinh viên giữ im lặng.,Neutral
Đang tra cứu thuật ngữ chuyên ngành.,Neutral
Kỳ thi tốt nghiệp dự kiến diễn ra vào tháng 6.,Neutral
Mang theo bút chì và tẩy để làm bài trắc nghiệm.,Neutral
Đề tài nghiên cứu khoa học đã được thông qua.,Neutral
Giờ học tiếng Nhật có phần thực hành hội thoại.,Neutral
Giáo viên phụ trách công tác Đoàn là thầy Minh.,Neutral
Chứng chỉ tin học văn phòng là yêu cầu tốt nghiệp.,Neutral
Phấn khởi vì nhận được lời khen từ giáo sư hướng dẫn.,Positive
Hoàn thành tất cả các câu hỏi trong đề cương ôn tập.,Positive
Điểm số cải thiện đáng kể so với học kỳ trước.,Positive
Hiểu rõ hơn về ứng dụng của lý thuyết vào thực tế.,Positive
"Không khí lớp học vui vẻ, thoải mái.",Positive
Được chọn tham gia trại hè khoa học.,Positive
Cảm thấy việc học trở nên nhẹ nhàng hơn.,Positive
Bài kiểm tra Sử không quá khó.,Positive
Nắm vững kiến thức cơ bản của môn học.,Positive
Luôn hoàn thành bài tập đúng thời hạn.,Positive
"Nộp bài muộn, bị trừ hết điểm chuyên cần.",Negative
Cảm thấy lạc hậu so với các bạn trong lớp.,Negative
Không thể nhớ nổi công thức vừa học.,Negative
"Bài giảng quá trừu tượng, khó hình dung.",Negative
Bị điểm liệt môn điều kiện.,Negative
Mất tập trung vì tiếng ồn bên ngoài.,Negative
Cảm thấy bất lực trước khối lượng kiến thức lớn.,Negative
Điểm thi thấp làm ảnh hưởng đến điểm trung bình chung.,Negative
Không tìm được sự giúp đỡ khi gặp khó khăn.,Negative
Thầy cô giảng bài không thu hút.,Negative
Học sinh ngồi bàn cuối cùng.,Neutral
Cần mua thêm vở viết mới.,Neutral
