text,label,
Welfare benefits were cut causing dissatisfaction,Negative,
Feeling regretful for choosing this course/job,Negative,
Losing sleep from worrying too much about work/study,Negative,
Email notification about the meeting schedule has been sent,Neutral,
I am double-checking items on the to-do list,Neutral,
The office will close at 5:30 PM today,Neutral,
Need to update contact information on the employee profile,Neutral,
The next class session will focus on Chapter 5,Neutral,
Waiting for participation confirmation from other members,Neutral,
The user guide document is in the shared folder,Neutral,
The deadline for submitting the report is this Friday,Neutral,
I am attending an online webinar,Neutral,
The work schedule for next month is being drafted,Neutral,
Need to register to use the meeting room one day in advance,Neutral,
Detailed information about the course is available on the website,Neutral,
Double-checking the figures in the excel spreadsheet,Neutral,
The afternoon break is at 3 o'clock,Neutral,
I need the project manager's approval signature,Neutral,
The list of event participants has been compiled,Neutral,
Reading the company's weekly internal newsletter,Neutral,
The server system will undergo maintenance over the weekend,Neutral,
Need to prepare documents for tomorrow's client meeting,Neutral,
Notification about the change of study location has been sent,Neutral,
I am rearranging my personal schedule accordingly,Neutral,
The employee satisfaction survey form is being distributed,Neutral,
Need to check email for new notifications,Neutral,
The PowerPoint presentation has been roughly completed,Neutral,
The opening hours of the practice room are from 8 AM,Neutral,
I am looking for a specific reference document,Neutral,
The regular monthly meeting will take place next week,Neutral,
Need to reconfirm the budget for this item,Neutral,
Taking down the main points from the lecture,Neutral,
Scholarship information is posted at the faculty office,Neutral,
I need to renew my system access account,Neutral,
Reviewing the standard operating procedure,Neutral,
The re-examination schedule will be announced later,Neutral,
Need to book flight tickets for the upcoming business trip,Neutral,
The list of priority tasks has been identified,Neutral,
I am checking the internet connection again,Neutral,
The leave application form can be downloaded from the internal page,Neutral,
Preparing the meeting room for the afternoon session,Neutral,
Need to check the printer status again,Neutral,
Information about soft skills courses has been updated,Neutral,
I am replying to a colleague's email,Neutral,
The IT department's work schedule for this week,Neutral,
Need to return the borrowed library card,Neutral,
Reviewing the meeting minutes from last week,Neutral,
Information about the company's organizational structure is on the website,Neutral,
I need to schedule work with another department,Neutral,
The job description for the new position is being finalized,Neutral,
Checking my personal timetable again,Neutral,
Need to contact the training department for more details,Neutral,
Notification about office cleaning over the weekend,Neutral,
I am waiting for a response regarding the technical support request,Neutral,
The grade report for the previous semester is available on the online system,Neutral,
Need to complete the mandatory online training module,Neutral,
Reviewing the company's information security policy,Neutral,
The official holiday schedule has been issued,Neutral,
I need to get an official stamp on this document,Neutral,
Preparing documents to submit to the HR department,Neutral,
Information about employee shuttle bus routes,Neutral,
Need to check the boss's schedule again before booking a meeting,Neutral,
List of required reading materials for the next class,Neutral,
I am updating the work status on the management software,Neutral,
Regulations regarding the use of company assets,Neutral,
Looking for the internal number of the relevant department,Neutral,
Notification about periodic email password changes,Neutral,
Need to rearrange my personal workspace,Neutral,
Reviewing the terms in the employment contract,Neutral,
The weekend office duty roster has been assigned,Neutral,
I need to send this report to multiple recipients,Neutral,
Information about upcoming extracurricular activities,Neutral,
Checking again if the file was saved in the correct location,Neutral,
Need to order more office supplies,Neutral,
Reading the installation guide for the new software,Neutral,
The version history of this document has been saved,Neutral,
I need to reconfirm the recipient's email address,Neutral,
Preparing to end the work/study day,Neutral,
Completed the report on time,Positive,
The class was very easy to understand,Positive,
Colleagues provided enthusiastic support,Positive,
The boss praised the new idea,Positive,
Midterm exam score was very good,Positive,
Mastered the lecture content,Positive,
The project is running smoothly,Positive,
Fixed the software bug,Positive,
Learned a useful new skill,Positive,
Cheerful working atmosphere,Positive,
Found an important reference paper,Positive,
The new software saves time,Positive,
This result is truly encouraging,Positive,
Group discussion was very lively,Positive,
Feeling full of energy this morning,Positive,
Completed the weekly goal,Positive,
The presentation was successful,Positive,
The teacher answered questions clearly,Positive,
Work progress is faster than expected,Positive,
Received positive feedback from the customer,Positive,
The class was very helpful,Positive,
Resolved the partner's complaint,Positive,
Confident in my coding skills,Positive,
Obtained the online course certificate,Positive,
Teamwork is very effective,Positive,
The idea was accepted by the group,Positive,
Understood the topic more deeply,Positive,
Work today was quite light,Positive,
Learned a useful new shortcut key,Positive,
Feeling satisfied with myself,Positive,
This assignment is too difficult,Negative,
The meeting went nowhere,Negative,
I overslept this morning,Negative,
The computer froze again,Negative,
The instructions were not clear at all,Negative,
The deadline is approaching very fast,Negative,
Didn't do well on the test,Negative,
The internet connection is intermittent,Negative,
The work is so monotonous,Negative,
Couldn't find the old report file,Negative,
Too many emails to reply to,Negative,
The boss's feedback is confusing,Negative,
Feeling a slight headache,Negative,
Accidentally deleted an important file,Negative,
Not enough time to finish everything,Negative,
Was late for class this morning,Negative,
The software is currently malfunctioning,Negative,
Don't understand the homework assignment,Negative,
Distracted by the noise,Negative,
Job requirements change constantly,Negative,
Forgot an important appointment,Negative,
The result disappointed me,Negative,
Feeling overwhelmed with work,Negative,
The network connection is too weak,Negative,
Arguing with a colleague,Negative,
Lack of reference materials,Negative,
Got reminded by the boss,Negative,
Tense working atmosphere,Negative,
The lecture was too fast,Negative,
Worried about the upcoming exam,Negative,
The meeting starts at 2 o'clock,Neutral,
The report needs to be submitted tomorrow,Neutral,
I am checking my email again,Neutral,
Need to print the meeting documents,Neutral,
Working on my personal computer,Neutral,
The class will take place on time,Neutral,
Lunch break is 1 hour,Neutral,
The document file has been sent,Neutral,
The office closes at 6 o'clock,Neutral,
I am reading chapter 4 documents,Neutral,
Need to send a confirmation email,Neutral,
Today's to-do list,Neutral,
Preparing presentation slides,Neutral,
Personal information has been updated,Neutral,
Just need to review the meeting schedule,Neutral,
Project X is being implemented,Neutral,
Attending an internal training session,Neutral,
Saving the file I'm working on,Neutral,
The assignment deadline is tonight,Neutral,
Need to book a meeting room for the group,Neutral,
Completed the assigned task well,Positive,
Yesterday's training session was very useful,Positive,
Group members helped a lot,Positive,
Received good evaluation from the manager,Positive,
The grade for this subject is quite okay,Positive,
Clearly understand the project requirements,Positive,
Project progress is according to plan,Positive,
Found a faster solution,Positive,
Learned about a new tool,Positive,
Friendly learning environment,Positive,
Found the needed information,Positive,
This application is very convenient,Positive,
Satisfied with the quality of work,Positive,
The discussion had many good ideas,Positive,
Feeling excited to start the new day,Positive,
Achieved personal goals,Positive,
The presentation received many compliments,Positive,
Teachers explain very dedicatedly,Positive,
Work completed earlier than planned,Positive,
The customer is very satisfied with the product,Positive,
The knowledge learned is very practical,Positive,
Resolved the backlog issue,Positive,
My Excel skills have improved,Positive,
Completed the course on Coursera,Positive,
Group coordination is very smooth,Positive,
My proposal was approved,Positive,
Mastered the basic theory,Positive,
Work today is not too stressful,Positive,
Discovered a neat trick in Word,Positive,
Feeling proud of myself,Positive,
This topic is really hard to understand,Negative,
The meeting ended without a clear conclusion,Negative,
Got stuck in traffic on the way to work,Negative,
The antivirus software scan is taking very long,Negative,
The customer's requirements are very vague,Negative,
Time pressure is immense,Negative,
Score is lower than expected,Negative,
The network at the company has issues today,Negative,
This task is repetitive,Negative,
Don't remember where I saved the file,Negative,
Inbox is full of unread emails,Negative,
Haven't received a response to the sent email,Negative,
Feeling a bit sleepy,Negative,
Sent the email to the wrong person,Negative,
Not enough time to do it carefully,Negative,
Was late for the online meeting,Negative,
The system is under maintenance,Negative,
Don't understand the question in the exercise,Negative,
Distracted by the phone,Negative,
The plan changed again,Negative,
Forgot to take notes,Negative,
The result is not as desired,Negative,
Feeling exhausted at the end of the day,Negative,
Connection error during the online meeting,Negative,
Disagreement with a team member,Negative,
Lack of data for analysis,Negative,
Received a complaint from a customer,Negative,
The atmosphere in the room is quite stuffy,Negative,
The lecturer's accent is a bit hard to understand,Negative,
Worried about the upcoming presentation,Negative,
The next meeting is on Wednesday,Neutral,
This report is 10 pages long,Neutral,
I am replying to customer emails,Neutral,
Need to photocopy this document,Neutral,
Working on Google Docs,Neutral,
The class starts at 8 AM,Neutral,
15-minute break,Neutral,
The presentation file is ready,Neutral,
The company works from Monday to Friday,Neutral,
I am rereading the notes,Neutral,
Need to send a deadline reminder email,Neutral,
List of reference documents,Neutral,
Preparing for the final exams,Neutral,
Project information is here,Neutral,
Just need to check the figures again,Neutral,
Project A has been completed,Neutral,
Attending a meeting with the partner,Neutral,
Updating the work status,Neutral,
The registration deadline is tomorrow,Neutral,
Need to schedule an appointment with the teacher,Neutral,
Completed the test excellently,Positive,
The experience sharing session was very valuable,Positive,
Colleague showed me a faster way to do it,Positive,
Management recognized the effort,Positive,
The final grade for the course is A,Positive,
Understood the lesson right in class,Positive,
The project encountered no obstacles,Positive,
Found the root cause of the problem,Positive,
The new knowledge is very useful for work,Positive,
Everyone in the team is very sociable,Positive,
Found a suitable illustrative example,Positive,
This tool helps increase productivity,Positive,
The result exceeded expectations,Positive,
Agreed on the teamwork plan,Positive,
Feeling very excited,Positive,
Completed this month's KPI,Positive,
My presentation went very smoothly,Positive,
The lecturer replied to emails very quickly,Positive,
The work was handled neatly,Positive,
Received a 5-star rating from users,Positive,
This course is well worth the money,Positive,
Successfully resolved the conflict within the group,Positive,
Presentation skills have improved,Positive,
Passed the interview for the dream company,Positive,
Team spirit is very high,Positive,
The idea was highly rated by the boss,Positive,
Understood the workflow better,Positive,
Finished work early today,Positive,
Learned about a new Excel function,Positive,
Feel like I did my best,Positive,
This assignment seems complex,Negative,
Ended the meeting still unclear,Negative,
Car broke down on the way to school,Negative,
Printer ran out of ink suddenly,Negative,
The boss's request is not specific,Negative,
Remaining time is too short,Negative,
Made a mistake on an important exam question,Negative,
Can't access the school website,Negative,
Feel this job is not suitable,Negative,
Searched everywhere but couldn't find that document,Negative,
Too many unfinished tasks,Negative,
Haven't received detailed instructions yet,Negative,
Feeling a bit tired and hungry,Negative,
Forgot to save the file before shutting down,Negative,
Definitely won't make this deadline,Negative,
Joined the online class late,Negative,
The application often crashes,Negative,
Assignment requirements exceed knowledge,Negative,
Bothered by continuous notifications,Negative,
The initial plan is not feasible,Negative,
Forgot the name of the person I just met,Negative,
The result was not as expected,Negative,
Feeling peer pressure,Negative,
Online meeting network keeps lagging,Negative,
Difficulty reaching consensus,Negative,
Lack of information to make a decision,Negative,
Received a complaint email,Negative,
The classroom atmosphere is a bit quiet,Negative,
The teacher speaks a bit unclearly,Negative,
Worried about how the results will turn out,Negative,
Regular meeting on Tuesday weekly,Neutral,
